diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
11.4,13.4,3.3,3.1,3.6,0.09934045204023453,60.5
12.9,15.2,3.6,3.4,4.0,0.11200916748954638,65.6
14.3,16.8,3.7,3.4,4.1,0.12418484824088237,72.30000000000001
12.0,14.3,3.4,3.1,3.6,0.10421994884910486,59.0
10.5,12.6,3.4,3.1,3.7,0.08994708994708994,60.099999999999994
14.7,16.5,3.9,3.6,4.1,0.1270675913466515,68.3
10.0,12.2,3.1,2.9,3.4,0.09026686376721388,51.6
10.0,11.5,2.8,2.6,3.0,0.07173091032225296,56.10000000000001
14.0,16.4,4.2,3.8,4.5,0.12584167939795168,68.5
14.1,15.9,3.8,3.5,4.0,0.12058194969587374,65.2
15.8,17.6,3.9,3.7,4.1,0.13821278059688655,71.3
11.0,13.2,3.7,3.3,4.0,0.09581078372419323,59.8
15.6,17.6,3.8,3.6,4.0,0.13142083439113142,69.9
11.8,14.1,3.9,3.6,4.2,0.10533502699269609,62.599999999999994
12.9,14.7,4.0,3.7,4.2,0.09734418505033197,62.0
10.9,13.1,3.4,3.2,3.8,0.09225302963009961,61.5
11.0,12.5,3.1,2.9,3.2,0.0952359367209102,55.4
11.2,13.1,3.2,3.0,3.5,0.09595022377469709,56.099999999999994
12.8,15.3,3.9,3.6,4.2,0.11714476842560895,65.6
13.2,15.7,4.2,3.9,4.5,0.12229987293519695,67.4
11.2,13.7,3.5,3.2,3.9,0.10106246093893607,58.3
7.3,8.8,2.4,2.2,2.5,0.05810090283023711,48.699999999999996
10.2,11.6,3.2,3.0,3.4,0.082750893666969,54.8
11.1,13.1,3.3,3.0,3.5,0.09929737364346629,55.599999999999994
11.8,14.1,3.1,2.9,3.4,0.09994842239813424,63.900000000000006
18.8,21.0,5.1,4.8,5.5,0.15323645970937913,79.1
11.8,13.4,3.4,3.2,3.6,0.10309992803262522,66.1
8.8,10.5,2.8,2.6,3.0,0.07534939614252238,46.2
11.9,14.1,3.5,3.2,3.8,0.10040923706518562,62.8
11.7,13.4,3.5,3.3,3.7,0.09744846298280625,62.4
11.3,13.3,3.3,3.0,3.5,0.09413723269144957,60.5
17.4,20.2,4.5,4.1,4.9,0.15222800271431802,77.5
13.8,15.6,3.8,3.6,4.1,0.11116446578631453,67.6
9.6,11.4,2.9,2.7,3.2,0.07899089193785087,58.900000000000006
8.8,10.4,2.7,2.5,2.9,0.07817988081613324,49.8
15.9,17.9,4.6,4.3,5.0,0.12523473688603262,67.8
10.3,11.7,2.8,2.7,3.0,0.08634122573424415,55.9
11.5,13.2,3.0,2.8,3.3,0.08931801515521877,58.1
9.3,11.0,3.0,2.8,3.2,0.08147657306938347,53.0
9.8,11.5,2.7,2.5,2.9,0.08145308219019318,52.900000000000006
10.4,12.3,3.2,3.0,3.5,0.08931517575011884,58.8
11.9,14.0,3.2,3.0,3.5,0.09942745949182352,62.3
17.5,19.3,4.3,4.0,4.6,0.15432098765432098,75.19999999999999
10.7,12.5,3.0,2.8,3.2,0.08900720150194749,56.5
